Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
KOMATSU HD785,84.8,Waste,7.5,5.1,39,2.6,3307.2
KOMATSU HD785,84.8,Waste,10,2.6,41,2.6,3476.8
KOMATSU HD785,84.8,Waste,9.9,2.7,6,4.2,508.8
KOMATSU HD785,84.8,Waste,9.1,3.5,4,4.8,339.2
KOMATSU HD785,84.8,High Grade,7.6,5,10,4.8,848
CAT 777F,84.8,Low Grade,9.7,2.9,8,0.8,678.4
CAT 785C,135.15,Waste,11,1.6,7,1.6,946.05
KOMATSU HD785,84.8,Waste,10,2.6,21,2.2,1780.8
KOMATSU HD785,84.8,Waste,10,2.6,44,2.3,3731.2
KOMATSU HD785,84.8,Waste,8.2,4.4,29,2.5,2459.2
KOMATSU HD785,84.8,Waste,7.7,4.9,46,2.5,3900.8
KOMATSU HD785,84.8,Waste,9.9,2.7,41,2.6,3476.8
KOMATSU HD785,84.8,High Grade,8.1,4.5,7,2.8,593.6
CAT 777F,84.8,Low Grade,4.3,8.3,1,2.9,84.8
CAT 785C,135.15,Waste,10.5,2.1,19,3,2567.85
KOMATSU HD785,84.8,Waste,9.8,2.8,38,3,3222.4
CAT 777E,84.8,Waste,8.9,3.7,24,3.4,2035.2
KOMATSU HD785,84.8,Waste,9.9,2.7,24,3.5,2035.2
CAT 777E,84.8,High Grade,10.3,2.3,4,3.8,339.2
CAT 777E,84.8,Waste,10.5,2.1,4,4.9,339.2
CAT 777E,84.8,High Grade,9.8,2.8,3,7.7,254.4
CAT 777F,84.8,High Grade,8.8,3.8,8,0.8,678.4
CAT 777E,84.8,Waste,9,3.6,3,2.4,254.4
KOMATSU HD785,84.8,Waste,10,2.6,41,2.6,3476.8
KOMATSU HD785,84.8,Waste,6.9,5.7,42,2.6,3561.6
CAT 777F,84.8,Waste,6.1,6.5,4,3.2,339.2
CAT 777F,84.8,Waste,6.7,5.9,13,3.3,1102.4
CAT 785C,135.15,Waste,9,3.6,7,3.8,946.05
CAT 777E,84.8,Waste,6.9,5.8,17,0.7,1441.6
CAT 777E,84.8,Waste,9.9,2.8,30,1.6,2544
CAT 777F,84.8,Low Grade,7.7,5,2,1.7,169.6
CAT 785C,135.15,Waste,10.3,2.4,4,1.7,540.6
CAT 777E,84.8,Waste,10.7,2,7,1.7,593.6
KOMATSU HD785,84.8,Waste,6.4,6.3,11,1.9,932.8
KOMATSU HD785,84.8,Waste,9.7,3,41,1.9,3476.8
CAT 777F,84.8,Waste,10.1,2.6,5,2.1,424
CAT 777E,84.8,Waste,10,2.7,2,2.6,169.6
KOMATSU HD785,84.8,Waste,9.5,3.2,43,2.6,3646.4
CAT 785C,135.15,Waste,10.5,2.2,17,2.9,2297.55
CAT 777F,84.8,Waste,9.5,3.2,29,3,2459.2
KOMATSU HD785,84.8,Waste,9.4,3.3,36,3.7,3052.8
KOMATSU HD785,84.8,High Grade,9,3.7,8,5.5,678.4
CAT 777E,84.8,Waste,9.2,3.5,4,2.1,339.2
CAT 777F,84.8,Waste,7.7,5,6,2.4,508.8
KOMATSU HD785,84.8,Waste,7.9,4.8,46,2.5,3900.8
CAT 777F,84.8,Waste,9.1,3.6,7,3.3,593.6
CAT 785C,135.15,Waste,11.2,1.5,8,3.3,1081.2
CAT 785C,135.15,Waste,8.5,4.2,7,3.8,946.05
CAT 777F,84.8,Low Grade,11.5,1.3,1,0.9,84.8
CAT 777F,84.8,Low Grade,7.5,5.3,1,2,84.8
CAT 777E,84.8,High Grade,11,1.8,2,2.2,169.6
KOMATSU HD785,84.8,Waste,10,2.8,44,2.3,3731.2
CAT 777F,84.8,Waste,9.1,3.7,3,0.8,254.4
CAT 777F,84.8,Waste,9.7,3.1,1,1.1,84.8
CAT 777E,84.8,High Grade,4.4,8.4,1,1.2,84.8
CAT 777F,84.8,Low Grade,8,4.8,11,1.6,932.8
KOMATSU HD785,84.8,Waste,9.7,3.1,43,2.1,3646.4
CAT 785C,135.15,Waste,11.1,1.7,8,2.4,1081.2
CAT 777F,84.8,Waste,9.8,3,37,2.6,3137.6
KOMATSU HD785,84.8,Waste,10.2,2.6,42,2.6,3561.6
KOMATSU HD785,84.8,Waste,8.2,4.6,25,2.7,2120
CAT 777F,84.8,Waste,9.9,2.9,7,3.3,593.6
CAT 777E,84.8,Waste,8.5,4.3,4,3.5,339.2
CAT 785C,135.15,Waste,3.7,9.1,1,4.1,135.15
CAT 785C,135.15,Waste,10.1,2.7,5,4.2,675.75
KOMATSU HD785,84.8,High Grade,7,5.8,11,5.1,932.8
KOMATSU HD785,84.8,Waste,9.9,2.9,43,3.8,3646.4
CAT 777F,84.8,Low Grade,6.3,6.6,14,1.8,1187.2
CAT 777F,84.8,Waste,10.8,2.1,3,2.8,254.4
KOMATSU HD785,84.8,High Grade,10.6,2.3,2,3.1,169.6
KOMATSU HD785,84.8,Low Grade,6.4,6.5,8,4.9,678.4
KOMATSU HD785,84.8,Waste,6.4,6.5,10,2.6,848
KOMATSU HD785,84.8,Waste,7.3,5.6,27,2.6,2289.6
KOMATSU HD785,84.8,Waste,10.1,2.8,48,2.6,4070.4
CAT 777F,84.8,Waste,9.1,3.8,22,2.8,1865.6
CAT 785C,135.15,Waste,11.8,1.1,8,4.1,1081.2
CAT 777F,84.8,Waste,11.7,1.3,1,1.5,84.8
CAT 785C,135.15,High Grade,4.9,8.1,2,0.9,270.3
CAT 777F,84.8,Waste,10.7,2.3,9,0.9,763.2
CAT 777F,84.8,Low Grade,10.7,2.3,4,1.1,339.2
CAT 777F,84.8,Waste,10.1,2.9,10,1.1,848
CAT 785C,135.15,Waste,9.7,3.3,21,1.1,2838.15
CAT 785C,135.15,Waste,11.5,1.5,3,1.4,405.45
CAT 777F,84.8,Waste,9,4,35,2,2968
KOMATSU HD785,84.8,Waste,9.3,3.7,20,2.2,1696
KOMATSU HD785,84.8,Waste,9.9,3.1,42,2.2,3561.6
CAT 777F,84.8,Waste,9.1,3.9,45,2.4,3816
CAT 777F,84.8,Waste,8.7,4.3,32,2.5,2713.6
KOMATSU HD785,84.8,Waste,7.6,5.4,36,2.6,3052.8
KOMATSU HD785,84.8,High Grade,7.1,5.9,12,2.7,1017.6
KOMATSU HD785,84.8,Waste,7.5,5.5,41,2.9,3476.8
CAT 777F,84.8,Waste,10,3,20,3,1696
KOMATSU HD785,84.8,High Grade,6.6,6.4,3,3.1,254.4
CAT 777E,84.8,Waste,10.1,2.9,4,3.5,339.2
KOMATSU HD785,84.8,Waste,10.3,2.7,44,3.9,3731.2
KOMATSU HD785,84.8,High Grade,8.2,4.8,2,4.4,169.6
KOMATSU HD785,84.8,Low Grade,7.5,5.5,9,5.2,763.2
KOMATSU HD785,84.8,Waste,8.2,4.8,1,7.8,84.8
CAT 777E,84.8,High Grade,8.9,4.1,3,1.6,254.4
CAT 777F,84.8,Low Grade,10.3,2.8,6,1.1,508.8
KOMATSU HD785,84.8,Waste,9.3,3.8,34,3,2883.2
CAT 777E,84.8,Waste,9.4,3.7,4,1.8,339.2
CAT 777E,84.8,Low Grade,7.9,5.2,1,2,84.8
CAT 785C,135.15,Waste,10.9,2.2,8,2.1,1081.2
KOMATSU HD785,84.8,Waste,10.4,2.7,42,2.5,3561.6
CAT 777E,84.8,Low Grade,4.2,8.9,1,2.9,84.8
KOMATSU HD785,84.8,High Grade,7.2,5.9,10,5.1,848
CAT 785C,135.15,High Grade,11.9,1.2,1,7.1,135.15
KOMATSU HD785,84.8,Waste,7.9,5.2,24,2.2,2035.2
CAT 777E,84.8,Waste,9.8,3.3,20,2.3,1696
KOMATSU HD785,84.8,Waste,7,6.1,38,3,3222.4
CAT 777F,84.8,Waste,8.8,4.3,23,3.1,1950.4
KOMATSU HD785,84.8,Waste,9.4,3.7,4,3.5,339.2
CAT 777E,84.8,Waste,9.1,4,17,3.5,1441.6
CAT 785C,135.15,Waste,10,3.1,5,3.6,675.75
CAT 777E,84.8,High Grade,10.2,2.9,3,6.2,254.4
CAT 777F,84.8,Waste,4.9,8.3,3,0.9,254.4
CAT 777F,84.8,Waste,10.7,2.5,37,1.3,3137.6
CAT 777E,84.8,High Grade,7.6,5.6,4,1.5,339.2
CAT 777E,84.8,High Grade,10.1,3.1,6,2,508.8
CAT 777E,84.8,Waste,10.2,3,24,2,2035.2
KOMATSU HD785,84.8,Waste,6.8,6.4,43,2.1,3646.4
KOMATSU HD785,84.8,Waste,7.2,6,44,2.2,3731.2
CAT 785C,135.15,Waste,9.8,3.4,7,2.4,946.05
KOMATSU HD785,84.8,Waste,8.3,4.9,45,2.5,3816
KOMATSU HD785,84.8,Waste,8.1,5.1,8,2.6,678.4
CAT 777E,84.8,Waste,9.5,3.7,5,2.7,424
CAT 777F,84.8,Waste,10.1,3.1,2,3,169.6
CAT 777E,84.8,Waste,10.7,2.5,3,3.3,254.4
CAT 785C,135.15,Waste,9.2,4,7,3.8,946.05
KOMATSU HD785,84.8,High Grade,10.6,2.6,5,3,424
CAT 777F,84.8,Waste,8,5.2,15,3.2,1272
CAT 785C,135.15,Waste,10.6,2.6,2,10.5,270.3
CAT 777F,84.8,Waste,9.7,3.6,14,1.4,1187.2
CAT 777F,84.8,High Grade,8.6,4.7,5,1.6,424
CAT 777E,84.8,High Grade,8.8,4.5,5,1.8,424
CAT 777F,84.8,Waste,9.2,4.1,2,2.3,169.6
KOMATSU HD785,84.8,Waste,6.8,6.5,9,2.3,763.2
CAT 785C,135.15,Low Grade,7.2,6.1,1,2.6,135.15
CAT 777F,84.8,Waste,9,4.3,49,0.7,4155.2
CAT 777E,84.8,Waste,10.8,2.5,17,1.6,1441.6
CAT 777F,84.8,Low Grade,10.4,2.9,1,2.1,84.8
CAT 777F,84.8,Waste,9.1,4.2,9,2.1,763.2
KOMATSU HD785,84.8,Waste,9.9,3.4,36,2.2,3052.8
KOMATSU HD785,84.8,Waste,7.6,5.7,37,2.5,3137.6
CAT 777F,84.8,Waste,9.8,3.5,14,2.7,1187.2
CAT 777F,84.8,Low Grade,9.1,4.2,1,2.9,84.8
CAT 777F,84.8,Waste,7.8,5.5,5,2.9,424
CAT 785C,135.15,High Grade,6.5,6.8,1,3.4,135.15
CAT 777E,84.8,Waste,10.7,2.6,15,3.4,1272
CAT 785C,135.15,Waste,9.6,3.7,10,3.8,1351.5
CAT 785C,135.15,Waste,8.4,4.9,5,3.9,675.75
CAT 785C,135.15,Waste,6.9,6.5,2,1.5,270.3
CAT 777E,84.8,Waste,12.6,0.8,9,1.5,763.2
CAT 785C,135.15,Waste,11.2,2.2,2,2,270.3
KOMATSU HD785,84.8,Waste,10.5,2.9,40,2.6,3392
CAT 777F,84.8,Waste,8.7,4.7,9,2.8,763.2
CAT 785C,135.15,High Grade,6.7,6.7,1,3.7,135.15
CAT 785C,135.15,Waste,10,3.4,2,3.7,270.3
CAT 777E,84.8,Waste,8.8,4.6,3,1.5,254.4
KOMATSU HD785,84.8,Waste,10.2,3.2,42,2.2,3561.6
CAT 777E,84.8,Waste,8.8,4.6,7,2.6,593.6
KOMATSU HD785,84.8,Waste,7.6,5.8,17,4.1,1441.6
CAT 777E,84.8,Waste,11.9,1.5,3,5.9,254.4
CAT 777F,84.8,High Grade,9.9,3.5,1,1.8,84.8
KOMATSU HD785,84.8,Waste,7.4,6,26,2.6,2204.8
CAT 777F,84.8,Waste,6.8,6.6,4,3.3,339.2
CAT 777E,84.8,Waste,11.3,2.2,3,0.9,254.4
CAT 777F,84.8,Low Grade,10.7,2.8,2,1.1,169.6
CAT 777F,84.8,Waste,7.8,5.7,19,1.9,1611.2
CAT 777F,84.8,Waste,5.9,7.6,1,2,84.8
CAT 777F,84.8,High Grade,8,5.5,2,2.1,169.6
CAT 777F,84.8,High Grade,6.9,6.6,3,2.1,254.4
CAT 785C,135.15,High Grade,5.8,7.7,3,2.1,405.45
CAT 777E,84.8,Waste,11.2,2.3,26,2.1,2204.8
CAT 777F,84.8,Waste,10.6,2.9,7,2.3,593.6
CAT 777E,84.8,Waste,8.6,4.9,14,2.6,1187.2
KOMATSU HD785,84.8,Waste,7.6,5.9,24,2.6,2035.2
CAT 777F,84.8,Waste,10.3,3.2,34,2.6,2883.2
CAT 777F,84.8,Waste,11.2,2.3,15,2.7,1272
KOMATSU HD785,84.8,Waste,7.5,6,39,2.9,3307.2
CAT 777F,84.8,Waste,10,3.5,13,3.2,1102.4
CAT 777E,84.8,Waste,8.6,4.9,24,3.2,2035.2
CAT 777E,84.8,Waste,10.1,3.4,9,3.3,763.2
CAT 777E,84.8,High Grade,11.9,1.6,2,4.4,169.6
CAT 777E,84.8,Waste,10.5,3,3,4.7,254.4
CAT 785C,135.15,Waste,11,2.5,1,8.2,135.15
CAT 777E,84.8,Waste,8,5.5,2,0.9,169.6
CAT 785C,135.15,Waste,12,1.5,1,8.8,135.15
CAT 785C,135.15,Waste,8.5,5.1,5,5.1,675.75
CAT 777E,84.8,High Grade,9.5,4.1,1,7.8,84.8
CAT 777E,84.8,Waste,7.4,6.2,45,0.8,3816
CAT 777E,84.8,Waste,11.8,1.8,2,1.7,169.6
CAT 777E,84.8,High Grade,8.8,4.8,3,1.7,254.4
CAT 785C,135.15,Waste,12,1.6,22,1.7,2973.3
CAT 777E,84.8,Waste,11.7,1.9,4,1.9,339.2
CAT 777F,84.8,Low Grade,11.6,2,1,2,84.8
CAT 777F,84.8,Waste,8.9,4.7,29,2.9,2459.2
CAT 777F,84.8,Waste,6.9,6.7,3,3.2,254.4
KOMATSU HD785,84.8,Waste,10.4,3.2,40,3.8,3392
CAT 777E,84.8,Waste,7.9,5.7,5,4.4,424
CAT 777E,84.8,High Grade,12.2,1.4,5,4.8,424
CAT 777E,84.8,Low Grade,11.6,2,5,0.9,424
CAT 785C,135.15,High Grade,9.4,4.2,4,1.9,540.6
KOMATSU HD785,84.8,Waste,8,5.6,37,2.5,3137.6
CAT 777E,84.8,Waste,10.3,3.3,16,2.6,1356.8
CAT 777F,84.8,Waste,9.9,3.7,41,2.7,3476.8
CAT 785C,135.15,Waste,9.2,4.4,19,2.8,2567.85
CAT 777E,84.8,Waste,9.6,4,9,3,763.2
CAT 777E,84.8,Waste,8.9,4.7,32,3.2,2713.6
CAT 785C,135.15,Waste,10.7,2.9,8,3.7,1081.2
CAT 785C,135.15,High Grade,11.1,2.5,3,4.8,405.45
CAT 777E,84.8,Waste,9.1,4.5,4,5.1,339.2
CAT 785C,135.15,Waste,8.4,5.2,3,8.6,405.45
CAT 777F,84.8,Low Grade,7.7,6,2,1,169.6
CAT 777F,84.8,Low Grade,10.9,2.8,15,1.1,1272
KOMATSU HD785,84.8,Waste,10.4,3.3,31,2.2,2628.8
CAT 777F,84.8,Waste,9.9,3.8,42,2.2,3561.6
KOMATSU HD785,84.8,Waste,10.8,2.9,40,2.5,3392
KOMATSU HD785,84.8,Waste,9.9,3.8,42,2.5,3561.6
KOMATSU HD785,84.8,Waste,7.9,5.8,25,2.6,2120
CAT 777F,84.8,Waste,11.1,2.6,26,3,2204.8
CAT 777F,84.8,Waste,10.8,2.9,1,3.1,84.8
CAT 777F,84.8,High Grade,7.9,5.8,2,3.1,169.6
CAT 785C,135.15,Waste,5.3,8.4,5,3.8,675.75
CAT 785C,135.15,Waste,10.3,3.4,2,4.7,270.3
CAT 777E,84.8,High Grade,10.6,3.1,5,1.2,424
CAT 777E,84.8,High Grade,8.9,4.8,5,1.8,424
CAT 777F,84.8,Waste,10.3,3.4,26,1.8,2204.8
KOMATSU HD785,84.8,Waste,7.5,6.2,11,2.5,932.8
CAT 777F,84.8,Waste,10.7,3,11,2.6,932.8
KOMATSU HD785,84.8,Waste,7.7,6,34,2.6,2883.2
KOMATSU HD785,84.8,Waste,10.2,3.5,39,2.9,3307.2
CAT 777E,84.8,Waste,9.8,4,7,3.1,593.6
CAT 777E,84.8,Waste,8.8,5,28,0.8,2374.4
CAT 777F,84.8,Low Grade,11.8,2,3,1,254.4
KOMATSU HD785,84.8,Waste,7.6,6.2,9,2.2,763.2
CAT 785C,135.15,Waste,11.8,2,16,2.6,2162.4
CAT 777E,84.8,Waste,9,4.8,30,2.6,2544
KOMATSU HD785,84.8,Waste,7.4,6.4,14,2.8,1187.2
CAT 777F,84.8,Waste,8.3,5.5,3,2.9,254.4
CAT 777E,84.8,Waste,10,3.8,3,3.3,254.4
KOMATSU HD785,84.8,Low Grade,8.1,5.7,9,5.2,763.2
CAT 777E,84.8,Waste,11.7,2.1,7,1.4,593.6
CAT 777F,84.8,Low Grade,10.1,3.7,4,1.6,339.2
CAT 777F,84.8,High Grade,9.9,3.9,3,1.9,254.4
CAT 777F,84.8,Low Grade,7.4,6.4,14,2.1,1187.2
KOMATSU HD785,84.8,Waste,7.3,6.5,41,2.1,3476.8
CAT 777F,84.8,Waste,8,5.8,36,2.2,3052.8
CAT 777F,84.8,Waste,10.2,3.6,37,2.2,3137.6
KOMATSU HD785,84.8,Waste,7.5,6.3,38,2.2,3222.4
CAT 777E,84.8,Waste,10.8,3,9,2.3,763.2
CAT 777E,84.8,Waste,9.1,4.7,6,2.6,508.8
KOMATSU HD785,84.8,Waste,9.4,4.4,23,3.1,1950.4
KOMATSU HD785,84.8,High Grade,9.3,4.5,13,4.7,1102.4
CAT 777F,84.8,Waste,9.8,4.1,21,1.1,1780.8
CAT 777F,84.8,High Grade,6.1,7.8,4,1.5,339.2
CAT 777F,84.8,High Grade,8.6,5.3,6,1.5,508.8
CAT 777F,84.8,Waste,8.5,5.4,42,2,3561.6
CAT 777E,84.8,Low Grade,10.1,3.8,4,2.4,339.2
CAT 777F,84.8,Waste,11.1,2.8,2,2.6,169.6
CAT 777F,84.8,Waste,9,4.9,27,2.8,2289.6
KOMATSU HD785,84.8,Waste,10.1,3.8,37,2.8,3137.6
CAT 777F,84.8,Waste,11.4,2.5,4,2.9,339.2
CAT 777F,84.8,Waste,11,2.9,31,2.9,2628.8
CAT 777E,84.8,Waste,10.8,3.1,4,3.1,339.2
CAT 777F,84.8,Waste,11.5,2.4,26,3.1,2204.8
CAT 777F,84.8,Waste,10.7,3.2,3,3.3,254.4
CAT 785C,135.15,High Grade,9.9,4,12,1.2,1621.8
CAT 777F,84.8,High Grade,5.6,8.3,2,1.5,169.6
CAT 777F,84.8,Low Grade,9.7,4.2,8,1.5,678.4
KOMATSU HD785,84.8,Waste,7.8,6.1,34,2.5,2883.2
KOMATSU HD785,84.8,High Grade,9.4,4.5,6,2.7,508.8
KOMATSU HD1500,135.15,Waste,11.7,2.2,9,2.7,1216.35
CAT 777E,84.8,Waste,9.5,4.4,11,2.7,932.8
CAT 777E,84.8,High Grade,13.6,0.3,1,2.8,84.8
CAT 777E,84.8,High Grade,6.2,7.7,4,2.8,339.2
KOMATSU HD785,84.8,High Grade,9.7,4.2,4,3.1,339.2
CAT 785C,135.15,Waste,13.1,0.8,7,3.4,946.05
CAT 777F,84.8,Waste,10.6,3.3,11,3.4,932.8
CAT 777E,84.8,Waste,10,3.9,13,4.3,1102.4
CAT 777E,84.8,Waste,10.1,3.8,30,4.9,2544
CAT 777E,84.8,Waste,10.8,3.1,21,2.2,1780.8
CAT 777E,84.8,High Grade,11.3,2.7,2,1.3,169.6
CAT 777E,84.8,Waste,12.2,1.8,8,1.8,678.4
CAT 777F,84.8,High Grade,10.3,3.7,6,2.1,508.8
CAT 777E,84.8,Low Grade,7.8,6.2,7,2.2,593.6
KOMATSU HD785,84.8,High Grade,11.1,2.9,4,2.6,339.2
CAT 777F,84.8,Waste,10.8,3.2,3,2.9,254.4
CAT 777E,84.8,Waste,12.1,1.9,18,3,1526.4
CAT 777E,84.8,High Grade,11.7,2.3,1,4.1,84.8
CAT 777E,84.8,Waste,10.8,3.2,6,1.1,508.8
KOMATSU HD785,84.8,Waste,11.5,2.5,1,1.8,84.8
CAT 777F,84.8,Waste,8.8,5.2,6,1.9,508.8
CAT 777F,84.8,Waste,9.7,4.3,40,2.3,3392
CAT 785C,135.15,Low Grade,9.6,4.4,2,2.4,270.3
CAT 777F,84.8,Low Grade,10.8,3.2,2,2.5,169.6
CAT 785C,135.15,Low Grade,8.7,5.3,1,2.7,135.15
CAT 777E,84.8,Waste,9.9,4.1,23,2.9,1950.4
CAT 777F,84.8,Waste,11.7,2.3,28,2.9,2374.4
CAT 777E,84.8,High Grade,9.5,4.5,8,3.1,678.4
CAT 777F,84.8,Waste,10.5,3.5,8,3.1,678.4
CAT 777E,84.8,Waste,10.2,3.8,21,3.5,1780.8
CAT 785C,135.15,Waste,10.6,3.4,2,3.6,270.3
CAT 785C,135.15,High Grade,11.9,2.1,12,4.1,1621.8
CAT 785C,135.15,Waste,9.8,4.2,11,4.7,1486.65
CAT 777E,84.8,High Grade,13,1,4,2.3,339.2
KOMATSU HD785,84.8,Waste,10.4,3.6,37,2.7,3137.6
CAT 777F,84.8,Waste,7,7,19,2.9,1611.2
CAT 777E,84.8,High Grade,8.8,5.3,3,2.1,254.4
KOMATSU HD785,84.8,Waste,9.5,4.6,22,3,1865.6
CAT 777E,84.8,Waste,11.5,2.6,2,0.5,169.6
CAT 785C,135.15,Low Grade,12.2,1.9,2,1.2,270.3
CAT 777F,84.8,High Grade,8,6.1,5,1.3,424
CAT 777E,84.8,High Grade,10.9,3.2,1,1.7,84.8
CAT 777E,84.8,Waste,9.8,4.3,15,2,1272
CAT 777E,84.8,Waste,11.1,3,16,2.7,1356.8
CAT 777E,84.8,Waste,11.2,2.9,6,2.8,508.8
CAT 785C,135.15,Waste,10.7,3.4,7,3.1,946.05
CAT 777E,84.8,High Grade,12.9,1.2,5,3.3,424
CAT 777E,84.8,Waste,8.2,5.9,42,0.8,3561.6
CAT 777F,84.8,High Grade,7.2,6.9,1,0.9,84.8
CAT 777E,84.8,High Grade,10.5,3.6,4,1.1,339.2
CAT 777F,84.8,Waste,10.4,3.7,10,1.4,848
CAT 777E,84.8,Waste,9.2,4.9,7,1.9,593.6
KOMATSU HD785,84.8,Waste,11.2,2.9,35,2.1,2968
KOMATSU HD785,84.8,Waste,8.1,6,8,2.6,678.4
CAT 777E,84.8,High Grade,6.6,7.5,1,3.4,84.8
CAT 777E,84.8,Waste,10.4,3.7,7,3.4,593.6
CAT 785C,135.15,Waste,12.1,2,10,4.3,1351.5
CAT 777F,84.8,Waste,11.4,2.8,7,0.5,593.6
CAT 777F,84.8,High Grade,10.7,3.5,5,1,424
CAT 777F,84.8,High Grade,6.3,7.9,4,1.3,339.2
CAT 777F,84.8,Low Grade,9.5,4.7,11,1.3,932.8
CAT 777F,84.8,Low Grade,10,4.2,10,1.4,848
CAT 785C,135.15,Waste,10.5,3.7,6,1.8,810.9
CAT 777E,84.8,Waste,11.2,3,2,2,169.6
CAT 777F,84.8,Waste,11.2,3,7,2.1,593.6
CAT 785C,135.15,Waste,11.2,3,13,2.1,1756.95
CAT 785C,135.15,Low Grade,9.2,5,2,2.4,270.3
CAT 777E,84.8,Waste,10.8,3.4,6,2.5,508.8
CAT 777F,84.8,High Grade,8.4,5.8,4,2.9,339.2
CAT 777F,84.8,Waste,9.5,4.7,22,3,1865.6
CAT 785C,135.15,Waste,12.3,1.9,4,3.7,540.6
KOMATSU HD785,84.8,High Grade,8.1,6.1,2,4.4,169.6
CAT 777E,84.8,Low Grade,9.2,5,8,4.8,678.4
CAT 777F,84.8,Waste,10.6,3.6,22,3.1,1865.6
CAT 777E,84.8,Waste,8,6.2,9,3.2,763.2
CAT 777E,84.8,Waste,10.7,3.6,33,0.5,2798.4
KOMATSU HD785,84.8,Waste,12.4,1.9,39,1.1,3307.2
CAT 785C,135.15,Low Grade,8,6.3,6,1.6,810.9
CAT 777E,84.8,Low Grade,8.1,6.2,2,2.4,169.6
CAT 777F,84.8,Waste,11.5,2.8,15,3.1,1272
CAT 777E,84.8,High Grade,8,6.3,2,3.3,169.6
CAT 777E,84.8,Waste,12.2,2.1,6,3.4,508.8
CAT 785C,135.15,Waste,12.1,2.2,10,4.1,1351.5
CAT 777F,84.8,Waste,10.3,4,3,4.7,254.4
CAT 785C,135.15,Waste,7.4,6.9,2,7.2,270.3
CAT 777E,84.8,High Grade,6.4,7.9,1,8.2,84.8
CAT 777E,84.8,Waste,7.9,6.4,40,0.9,3392
CAT 777E,84.8,Low Grade,10,4.3,5,1.5,424
CAT 777E,84.8,Low Grade,13.8,0.5,2,1.7,169.6
CAT 777E,84.8,High Grade,7.6,6.7,5,1.7,424
CAT 777F,84.8,High Grade,6.9,7.4,2,1.9,169.6
CAT 777F,84.8,Waste,11.4,2.9,14,2.4,1187.2
CAT 777F,84.8,Waste,10.1,4.2,27,3,2289.6
CAT 777F,84.8,Waste,11.5,2.8,22,3.1,1865.6
CAT 785C,135.15,Waste,11.9,2.4,3,6.7,405.45
CAT 777F,84.8,Waste,9.4,4.9,25,2.8,2120
CAT 785C,135.15,Waste,10.4,4,1,1.3,135.15
CAT 785C,135.15,Low Grade,6.2,8.2,2,1.9,270.3
CAT 777E,84.8,Waste,13.6,0.8,2,2.1,169.6
CAT 777F,84.8,Waste,10.7,3.7,31,2.6,2628.8
CAT 777E,84.8,Low Grade,11.8,2.6,2,3,169.6
CAT 777F,84.8,Waste,11.8,2.6,27,3,2289.6
CAT 777E,84.8,Waste,10.3,4.1,8,3.2,678.4
KOMATSU HD1500,135.15,Waste,11.4,3,10,4,1351.5
CAT 777E,84.8,High Grade,12.1,2.3,2,4.5,169.6
CAT 785C,135.15,Waste,5.8,8.6,1,8.4,135.15
CAT 777E,84.8,High Grade,8.2,6.2,3,1.7,254.4
CAT 777E,84.8,Low Grade,13.6,0.8,2,1.9,169.6
KOMATSU HD785,84.8,Waste,7.8,6.6,7,2,593.6
CAT 785C,135.15,Waste,7.4,7,13,2,1756.95
CAT 785C,135.15,Waste,9.3,5.1,16,2.1,2162.4
CAT 777F,84.8,Low Grade,7.3,7.1,5,2.2,424
CAT 777F,84.8,Waste,10.2,4.2,6,2.4,508.8
CAT 785C,135.15,Waste,10.3,4.1,4,2.7,540.6
CAT 777E,84.8,Waste,9,5.4,35,2.9,2968
CAT 777F,84.8,Waste,10,4.4,15,3.2,1272
CAT 785C,135.15,Waste,13.2,1.2,16,3.6,2162.4
CAT 785C,135.15,Waste,10.9,3.5,17,3.8,2297.55
CAT 777F,84.8,Waste,11.8,2.6,3,4.2,254.4
