Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
KOMATSU HD1500,135.15,High Grade,15.1,2.4,1,3.5,135.15
CAT 777E,84.8,Waste,13.9,3.6,22,3.5,1865.6
CAT 777E,84.8,Waste,12.8,4.7,25,3.5,2120
CAT 777F,84.8,Waste,12.6,4.9,20,3.6,1696
CAT 777F,84.8,Waste,12.8,4.7,18,3.7,1526.4
CAT 777E,84.8,Waste,13,4.5,10,3.8,848
CAT 777E,84.8,Waste,16.9,0.6,1,3.9,84.8
CAT 777E,84.8,Waste,10.9,6.6,1,4,84.8
CAT 777F,84.8,Low Grade,13.3,4.2,2,4,169.6
CAT 777E,84.8,Waste,13.9,3.6,1,4.2,84.8
CAT 777F,84.8,Waste,15.8,1.7,1,4.2,84.8
CAT 777F,84.8,Waste,11.3,6.2,3,4.5,254.4
CAT 777F,84.8,Waste,14.3,3.2,4,4.6,339.2
CAT 777F,84.8,Waste,12.6,4.9,23,4.9,1950.4
CAT 785C,135.15,Waste,15,2.5,10,5,1351.5
CAT 777E,84.8,Waste,16.1,1.4,2,5.5,169.6
CAT 785C,135.15,Waste,13.2,4.3,3,5.8,405.45
CAT 785C,135.15,Waste,13.1,4.4,3,5.8,405.45
CAT 785C,135.15,Waste,14.6,2.9,7,6,946.05
CAT 777E,84.8,High Grade,14.9,2.6,7,6.2,593.6
CAT 777E,84.8,High Grade,15.1,2.4,1,6.6,84.8
CAT 777E,84.8,Waste,16.4,1.1,3,12.6,254.4
CAT 777E,84.8,Waste,14,3.5,2,13.5,169.6
CAT 777F,84.8,High Grade,8.9,8.6,2,1.6,169.6
CAT 785C,135.15,Waste,16.1,1.4,1,3.8,135.15
CAT 777F,84.8,Low Grade,5.8,11.8,2,1.2,169.6
CAT 777E,84.8,Waste,17.1,0.5,1,1.4,84.8
CAT 777F,84.8,Waste,14.4,3.2,28,1.5,2374.4
CAT 777F,84.8,Waste,14.2,3.4,10,1.7,848
CAT 777F,84.8,Waste,14.4,3.2,6,1.9,508.8
CAT 777F,84.8,High Grade,14,3.6,3,2,254.4
CAT 777F,84.8,Waste,15.6,2,13,2,1102.4
CAT 785C,135.15,Waste,12.1,5.5,5,2.2,675.75
CAT 777F,84.8,High Grade,14.3,3.3,8,2.2,678.4
CAT 777F,84.8,Waste,11.4,6.2,5,2.5,424
CAT 777F,84.8,Waste,13.5,4.1,11,2.5,932.8
CAT 777E,84.8,Waste,10.6,7,12,2.6,1017.6
CAT 777F,84.8,Waste,14.1,3.5,24,2.6,2035.2
CAT 777E,84.8,Waste,13.1,4.5,3,2.7,254.4
CAT 777F,84.8,Waste,14.4,3.2,9,3,763.2
CAT 777E,84.8,Waste,13.2,4.4,4,3.5,339.2
CAT 785C,135.15,Waste,12,5.6,24,3.5,3243.6
CAT 777E,84.8,Waste,11.9,5.7,5,3.6,424
CAT 777F,84.8,Waste,12.7,4.9,13,3.8,1102.4
CAT 785C,135.15,High Grade,11.4,6.2,1,4.5,135.15
CAT 785C,135.15,Waste,15.3,2.3,8,4.5,1081.2
KOMATSU HD1500,135.15,Waste,16.6,1,1,6,135.15
CAT 777E,84.8,High Grade,12.5,5.1,7,1.1,593.6
CAT 777F,84.8,High Grade,10.6,7,3,1.4,254.4
CAT 777E,84.8,High Grade,11.8,5.8,5,1.6,424
CAT 777F,84.8,Waste,13.4,4.2,3,1.7,254.4
CAT 777F,84.8,Low Grade,9.5,8.1,6,1.7,508.8
CAT 777F,84.8,High Grade,7.4,10.2,7,1.8,593.6
CAT 777E,84.8,Waste,9.6,8,5,1.9,424
CAT 777F,84.8,Waste,14.7,2.9,26,1.9,2204.8
CAT 777E,84.8,Waste,13.6,4,2,2,169.6
CAT 777F,84.8,High Grade,12.5,5.1,5,2,424
CAT 785C,135.15,Waste,11.7,5.9,27,2,3649.05
CAT 777F,84.8,High Grade,13.7,3.9,4,2.1,339.2
CAT 777F,84.8,Waste,10.7,6.9,13,2.1,1102.4
CAT 777F,84.8,High Grade,13.2,4.4,5,2.2,424
CAT 777F,84.8,Low Grade,14.7,2.9,6,2.2,508.8
KOMATSU HD785,84.8,Waste,14.1,3.5,35,2.2,2968
CAT 777F,84.8,High Grade,11.7,5.9,6,2.3,508.8
CAT 777F,84.8,Low Grade,13,4.6,3,2.5,254.4
CAT 777F,84.8,Waste,14.5,3.1,9,2.5,763.2
KOMATSU HD785,84.8,Waste,14.5,3.1,34,2.5,2883.2
CAT 777F,84.8,Waste,13.6,4,8,2.6,678.4
CAT 777E,84.8,Waste,13.6,4,14,2.7,1187.2
CAT 777F,84.8,Waste,13.5,4.1,15,2.7,1272
CAT 777F,84.8,Waste,12,5.6,26,2.7,2204.8
CAT 777F,84.8,Waste,13.1,4.5,8,2.8,678.4
CAT 777E,84.8,Waste,14,3.6,7,2.9,593.6
CAT 777F,84.8,Waste,13.4,4.2,9,2.9,763.2
CAT 777E,84.8,Waste,14,3.6,26,2.9,2204.8
CAT 777F,84.8,Waste,13,4.6,2,3,169.6
CAT 777E,84.8,Waste,12.3,5.3,18,3.1,1526.4
CAT 777E,84.8,Waste,11.6,6,32,3.2,2713.6
CAT 777F,84.8,Waste,13.2,4.4,5,3.3,424
CAT 777E,84.8,Waste,14.6,3,3,3.4,254.4
CAT 777E,84.8,Waste,13.1,4.5,16,3.5,1356.8
CAT 777F,84.8,Waste,13.1,4.5,6,3.6,508.8
CAT 777F,84.8,Waste,11.9,5.7,20,3.6,1696
CAT 777F,84.8,Waste,14.5,3.1,17,3.7,1441.6
CAT 777E,84.8,Waste,13.9,3.7,22,3.7,1865.6
CAT 777E,84.8,High Grade,15.1,2.5,2,3.9,169.6
CAT 777E,84.8,Waste,12.4,5.2,2,3.9,169.6
CAT 777F,84.8,Waste,12.3,5.3,5,3.9,424
CAT 777E,84.8,Waste,13.2,4.4,6,4,508.8
CAT 785C,135.15,Waste,15.5,2.1,6,4.1,810.9
CAT 777F,84.8,Waste,12.5,5.1,30,4.1,2544
CAT 777F,84.8,Waste,14,3.6,18,4.3,1526.4
CAT 777E,84.8,Waste,12.3,5.3,9,4.5,763.2
CAT 785C,135.15,Waste,14.8,2.8,8,4.9,1081.2
CAT 777E,84.8,Waste,15,2.6,5,5.7,424
CAT 785C,135.15,High Grade,13.6,4,1,7.2,135.15
CAT 777E,84.8,Waste,15.7,1.9,1,7.5,84.8
CAT 777E,84.8,Waste,14.5,3.2,19,1.8,1611.2
CAT 785C,135.15,Low Grade,11.3,6.4,2,0.9,270.3
CAT 777E,84.8,High Grade,13.7,4,4,1.3,339.2
CAT 777E,84.8,Waste,9.5,8.2,3,1.5,254.4
CAT 777F,84.8,High Grade,14.3,3.4,4,1.6,339.2
CAT 777F,84.8,Low Grade,9,8.7,2,1.7,169.6
CAT 777F,84.8,High Grade,12.6,5.1,2,1.7,169.6
CAT 777F,84.8,Waste,12.3,5.4,27,1.9,2289.6
CAT 777F,84.8,High Grade,11.8,5.9,3,2,254.4
CAT 777F,84.8,Low Grade,12.2,5.5,4,2,339.2
CAT 785C,135.15,Waste,8.1,9.6,15,2,2027.25
CAT 777E,84.8,Waste,15.5,2.2,11,2.1,932.8
CAT 777F,84.8,Waste,10.2,7.5,31,2.2,2628.8
CAT 777F,84.8,Waste,12,5.7,6,2.4,508.8
CAT 777F,84.8,Waste,15.9,1.8,7,2.4,593.6
CAT 777F,84.8,Waste,16.1,1.6,3,2.5,254.4
CAT 777F,84.8,Waste,12.2,5.5,7,2.5,593.6
CAT 777E,84.8,Waste,12.6,5.1,3,2.6,254.4
CAT 777F,84.8,Waste,10.2,7.5,4,2.7,339.2
CAT 785C,135.15,Waste,10.9,6.8,15,2.7,2027.25
CAT 777F,84.8,Waste,13.3,4.4,23,2.7,1950.4
CAT 777E,84.8,Waste,13.7,4,5,2.8,424
CAT 777F,84.8,Waste,10.5,7.2,20,2.8,1696
CAT 777F,84.8,Waste,13.2,4.5,25,2.8,2120
CAT 785C,135.15,Waste,11.8,5.9,6,2.9,810.9
CAT 785C,135.15,Waste,16.1,1.6,8,2.9,1081.2
CAT 777F,84.8,Waste,15.1,2.6,8,3.1,678.4
KOMATSU HD785,84.8,Waste,12.2,5.5,13,3.1,1102.4
CAT 777E,84.8,Waste,9.3,8.4,17,3.1,1441.6
CAT 777F,84.8,Waste,12.7,5,4,3.2,339.2
CAT 777F,84.8,Waste,12.9,4.8,14,3.2,1187.2
CAT 785C,135.15,High Grade,8.5,9.2,2,3.3,270.3
CAT 777E,84.8,Waste,13,4.7,22,3.3,1865.6
CAT 785C,135.15,Waste,13.4,4.3,1,3.4,135.15
CAT 777E,84.8,Waste,15.1,2.6,17,3.4,1441.6
CAT 777E,84.8,Waste,14.9,2.8,4,3.5,339.2
CAT 777F,84.8,Waste,12.5,5.2,6,3.9,508.8
CAT 777F,84.8,Waste,11.9,5.8,12,3.9,1017.6
CAT 777E,84.8,Waste,11.9,5.8,20,3.9,1696
CAT 785C,135.15,Low Grade,13.8,3.9,1,4,135.15
KOMATSU HD1500,135.15,Waste,15.6,2.1,1,4.1,135.15
CAT 777F,84.8,Waste,12,5.7,2,4.1,169.6
CAT 777E,84.8,Waste,14.5,3.2,6,4.3,508.8
CAT 777E,84.8,Waste,14,3.7,11,4.6,932.8
CAT 777E,84.8,Waste,14.4,3.3,5,4.8,424
CAT 777F,84.8,Waste,12.6,5.1,28,4.8,2374.4
CAT 785C,135.15,Waste,14.3,3.4,5,6.6,675.75
CAT 777E,84.8,Waste,11.1,6.6,1,7.1,84.8
CAT 777F,84.8,Waste,13.2,4.5,20,2,1696
CAT 777E,84.8,Waste,10.5,7.2,1,2.7,84.8
CAT 777E,84.8,Waste,12.3,5.4,17,3,1441.6
CAT 777F,84.8,Waste,14.3,3.4,34,3.1,2883.2
CAT 777E,84.8,Waste,9.6,8.1,1,3.4,84.8
CAT 777E,84.8,Waste,16.5,1.2,1,8.2,84.8
CAT 777E,84.8,Waste,16.4,1.3,1,15.5,84.8
CAT 777F,84.8,Waste,12.9,4.9,2,2.8,169.6
CAT 777F,84.8,Waste,13.7,4.1,9,2.9,763.2
CAT 777F,84.8,Waste,14.4,3.4,12,2.9,1017.6
CAT 785C,135.15,Waste,9.8,8,10,3,1351.5
CAT 785C,135.15,Waste,12.1,5.7,17,3.8,2297.55
CAT 777F,84.8,Waste,14,3.8,9,3.9,763.2
CAT 785C,135.15,Waste,16.3,1.5,14,3.9,1892.1
CAT 777E,84.8,High Grade,15,2.8,5,5.2,424
CAT 785C,135.15,Waste,16.1,1.7,1,7.2,135.15
CAT 777F,84.8,High Grade,12.4,5.4,2,1.3,169.6
CAT 785C,135.15,Low Grade,8.2,9.6,4,1.7,540.6
CAT 777F,84.8,Low Grade,13.3,4.5,4,1.8,339.2
CAT 777F,84.8,Waste,14.6,3.2,14,1.8,1187.2
CAT 777F,84.8,Waste,10.8,7,20,1.8,1696
CAT 777F,84.8,Waste,14,3.8,4,2,339.2
CAT 777E,84.8,Low Grade,10.5,7.3,4,2,339.2
CAT 777F,84.8,High Grade,15.3,2.5,8,2,678.4
CAT 777F,84.8,Low Grade,13.5,4.3,4,2.1,339.2
CAT 777F,84.8,Waste,11.8,6,10,2.1,848
CAT 777E,84.8,Waste,14.5,3.3,27,2.1,2289.6
CAT 777F,84.8,Low Grade,14.4,3.4,3,2.2,254.4
CAT 777E,84.8,High Grade,12.3,5.5,5,2.2,424
CAT 785C,135.15,High Grade,9.1,8.7,7,2.4,946.05
CAT 777E,84.8,High Grade,7.3,10.5,3,2.5,254.4
CAT 777E,84.8,Waste,15,2.8,8,2.5,678.4
CAT 777F,84.8,Waste,14.8,3,26,2.5,2204.8
CAT 777E,84.8,High Grade,15.1,2.7,1,2.6,84.8
CAT 785C,135.15,Waste,11.6,6.2,3,2.7,405.45
CAT 777F,84.8,Waste,15,2.8,4,2.8,339.2
CAT 785C,135.15,Waste,12.3,5.5,4,2.9,540.6
CAT 777F,84.8,Waste,14.7,3.1,9,2.9,763.2
CAT 777F,84.8,Waste,12.4,5.4,30,2.9,2544
CAT 785C,135.15,Waste,15,2.8,4,3,540.6
CAT 777F,84.8,Waste,13.5,4.3,6,3,508.8
CAT 777E,84.8,Waste,13,4.8,5,3.1,424
CAT 777F,84.8,Waste,14.1,3.7,9,3.1,763.2
CAT 777E,84.8,Waste,14.6,3.2,12,3.3,1017.6
CAT 777E,84.8,Waste,15.5,2.3,13,3.3,1102.4
CAT 777E,84.8,Waste,13,4.8,19,3.3,1611.2
CAT 785C,135.15,Waste,11.7,6.1,25,3.3,3378.75
CAT 777E,84.8,Waste,13.9,3.9,10,3.5,848
KOMATSU HD785,84.8,Waste,13.5,4.3,8,3.6,678.4
CAT 777E,84.8,High Grade,15.5,2.3,2,3.7,169.6
CAT 777E,84.8,Waste,11.3,6.5,6,3.8,508.8
CAT 777F,84.8,Waste,12.7,5.1,27,4,2289.6
CAT 777E,84.8,Waste,15.4,2.4,3,4.2,254.4
CAT 785C,135.15,Waste,16,1.8,11,4.9,1486.65
CAT 785C,135.15,Waste,15.3,2.5,12,5,1621.8
CAT 777E,84.8,Waste,11.2,6.6,2,5.3,169.6
CAT 785C,135.15,Waste,14.2,3.6,4,7.3,540.6
CAT 785C,135.15,Low Grade,8.4,9.4,4,1.8,540.6
CAT 777E,84.8,Waste,13.4,4.4,1,10.2,84.8
CAT 777E,84.8,Low Grade,10.4,7.5,2,0.8,169.6
CAT 785C,135.15,Low Grade,15.5,2.4,1,0.9,135.15
CAT 777E,84.8,High Grade,10.6,7.3,1,1,84.8
CAT 777E,84.8,Waste,14.7,3.2,2,1.5,169.6
CAT 777F,84.8,Waste,14.1,3.8,12,1.6,1017.6
CAT 777F,84.8,Waste,13.9,4,16,1.8,1356.8
CAT 777F,84.8,Low Grade,11.9,6,2,2,169.6
CAT 777F,84.8,Waste,14.1,3.8,2,2,169.6
CAT 777E,84.8,Low Grade,12.1,5.8,9,2,763.2
CAT 777F,84.8,High Grade,12.4,5.5,3,2.1,254.4
CAT 777F,84.8,Waste,12,5.9,15,2.1,1272
CAT 777E,84.8,Low Grade,14.3,3.6,5,2.2,424
CAT 785C,135.15,High Grade,13,4.9,7,2.2,946.05
CAT 777E,84.8,Waste,13.8,4.1,3,2.3,254.4
CAT 777F,84.8,Waste,12,5.9,17,2.4,1441.6
CAT 777F,84.8,Waste,14.9,3,27,2.4,2289.6
CAT 777F,84.8,Waste,11,6.9,17,2.6,1441.6
CAT 777F,84.8,Waste,12.5,5.4,7,2.7,593.6
CAT 777F,84.8,Waste,12.8,5.1,15,2.7,1272
CAT 785C,135.15,Waste,9.1,8.8,15,2.7,2027.25
CAT 785C,135.15,Waste,13,4.9,16,2.7,2162.4
CAT 777F,84.8,Waste,14.3,3.6,19,2.7,1611.2
CAT 777E,84.8,Waste,13.2,4.7,9,2.8,763.2
CAT 777E,84.8,Low Grade,13,4.9,3,2.9,254.4
CAT 777E,84.8,Waste,14.4,3.5,23,2.9,1950.4
CAT 777F,84.8,Waste,11.6,6.3,9,3.1,763.2
CAT 777F,84.8,Waste,14.2,3.7,19,3.1,1611.2
CAT 785C,135.15,Waste,13.4,4.5,8,3.2,1081.2
CAT 785C,135.15,Waste,10.7,7.2,26,3.2,3513.9
CAT 777E,84.8,Waste,13.2,4.7,16,3.4,1356.8
CAT 777E,84.8,Waste,11.5,6.4,21,3.4,1780.8
CAT 785C,135.15,Waste,9.6,8.3,18,3.7,2432.7
CAT 777E,84.8,Low Grade,11.7,6.2,2,3.8,169.6
CAT 777F,84.8,Waste,10.4,7.5,18,4,1526.4
CAT 785C,135.15,Waste,16.7,1.2,8,4.4,1081.2
CAT 777E,84.8,Waste,13.3,4.6,26,4.8,2204.8
CAT 777E,84.8,Waste,14.6,3.3,4,5.1,339.2
CAT 785C,135.15,Waste,13.8,4.1,18,5.4,2432.7
CAT 785C,135.15,Waste,16,1.9,3,5.8,405.45
CAT 777E,84.8,Waste,14.8,3.1,4,5.9,339.2
KOMATSU HD1500,135.15,Waste,15.7,2.2,2,8.6,270.3
CAT 777E,84.8,High Grade,12.1,5.8,5,1.3,424
CAT 777F,84.8,High Grade,8.3,9.6,4,1.5,339.2
CAT 777F,84.8,Waste,14.7,3.2,15,1.9,1272
CAT 777F,84.8,Waste,13.2,4.7,22,1.9,1865.6
KOMATSU HD785,84.8,Waste,11,6.9,8,2.2,678.4
CAT 777F,84.8,High Grade,15.3,2.6,4,2.3,339.2
CAT 777F,84.8,Waste,13.7,4.2,10,2.6,848
CAT 777F,84.8,Waste,11.6,6.3,4,2.8,339.2
CAT 777E,84.8,Waste,12.7,5.2,20,3.3,1696
CAT 777E,84.8,Waste,13.3,4.6,14,3.5,1187.2
CAT 777F,84.8,Waste,15.3,2.6,5,3.7,424
CAT 777E,84.8,Waste,14.5,3.4,5,3.7,424
CAT 785C,135.15,Waste,15.6,2.3,24,3.7,3243.6
CAT 785C,135.15,Waste,13.4,4.5,1,4.1,135.15
CAT 785C,135.15,Waste,13.2,4.7,4,6,540.6
CAT 777E,84.8,Waste,15.1,2.8,12,6,1017.6
CAT 777E,84.8,Waste,16.4,1.5,3,6.2,254.4
CAT 777E,84.8,Waste,16.7,1.3,2,3.3,169.6
CAT 777E,84.8,High Grade,13.5,4.5,2,1.1,169.6
CAT 777E,84.8,High Grade,14.7,3.3,6,1.1,508.8
CAT 777F,84.8,High Grade,11.7,6.3,6,1.1,508.8
CAT 777F,84.8,High Grade,11.1,6.9,5,1.2,424
CAT 777F,84.8,High Grade,13.7,4.3,3,1.4,254.4
CAT 777E,84.8,High Grade,9.1,8.9,8,1.4,678.4
CAT 777F,84.8,Low Grade,15.9,2.1,4,1.5,339.2
CAT 777E,84.8,Waste,15.4,2.6,4,1.5,339.2
CAT 777F,84.8,High Grade,14.6,3.4,6,1.5,508.8
CAT 785C,135.15,Low Grade,10.6,7.4,4,2,540.6
CAT 777E,84.8,Waste,15.4,2.6,6,2.1,508.8
CAT 777E,84.8,Waste,14.2,3.8,15,2.1,1272
CAT 785C,135.15,High Grade,12.1,5.9,4,2.5,540.6
CAT 777F,84.8,Waste,13.1,4.9,22,2.6,1865.6
CAT 777F,84.8,Waste,13.5,4.5,8,2.7,678.4
CAT 777E,84.8,Waste,14.5,3.5,10,2.7,848
CAT 777E,84.8,High Grade,12.8,5.2,5,2.8,424
CAT 785C,135.15,High Grade,9.3,8.7,4,2.9,540.6
CAT 777E,84.8,High Grade,13.4,4.6,7,2.9,593.6
CAT 777F,84.8,Waste,11.5,6.5,3,3,254.4
CAT 777E,84.8,Waste,11.9,6.1,14,3,1187.2
CAT 777E,84.8,Waste,14.2,3.8,15,3,1272
CAT 777F,84.8,Waste,14.2,3.8,24,3,2035.2
CAT 785C,135.15,Low Grade,11.1,6.9,1,3.1,135.15
CAT 777E,84.8,Waste,11.6,6.4,10,3.1,848
CAT 785C,135.15,Low Grade,14.5,3.5,2,3.2,270.3
CAT 777E,84.8,Waste,15.2,2.8,6,3.2,508.8
CAT 777F,84.8,Waste,12.5,5.5,6,3.4,508.8
CAT 777E,84.8,Waste,13.7,4.3,15,3.4,1272
CAT 777E,84.8,Waste,12.5,5.5,24,3.5,2035.2
CAT 777E,84.8,Waste,14.9,3.1,19,3.6,1611.2
CAT 785C,135.15,Waste,14.3,3.7,1,3.7,135.15
CAT 785C,135.15,Waste,16,2,14,3.7,1892.1
CAT 777E,84.8,Waste,12.9,5.1,19,3.7,1611.2
CAT 777F,84.8,Waste,9.4,8.6,17,3.8,1441.6
CAT 777F,84.8,Low Grade,13.2,4.8,2,3.9,169.6
CAT 785C,135.15,Waste,11.5,6.5,5,3.9,675.75
CAT 777E,84.8,Waste,12.6,5.4,8,3.9,678.4
CAT 777E,84.8,Waste,9.9,8.1,1,4,84.8
CAT 777E,84.8,Waste,15.2,2.8,6,4,508.8
CAT 785C,135.15,Waste,12.9,5.1,11,4,1486.65
CAT 777F,84.8,Waste,12.6,5.4,21,4,1780.8
CAT 777F,84.8,Waste,11,7,5,4.1,424
CAT 777E,84.8,Waste,15.1,2.9,9,4.6,763.2
CAT 785C,135.15,Waste,15.6,2.4,18,5.4,2432.7
CAT 777E,84.8,Waste,14.2,3.8,1,5.6,84.8
CAT 777E,84.8,Waste,12.5,5.5,2,5.9,169.6
CAT 785C,135.15,Waste,14.1,3.9,1,7.8,135.15
CAT 785C,135.15,Waste,12.4,5.6,1,8,135.15
CAT 777E,84.8,High Grade,14,4,2,1.4,169.6
CAT 777E,84.8,Waste,15.9,2.1,14,2.9,1187.2
CAT 785C,135.15,Waste,12.1,5.9,5,3.8,675.75
CAT 777F,84.8,Low Grade,12.7,5.4,5,1.1,424
CAT 777F,84.8,High Grade,15,3.1,6,1.1,508.8
CAT 777F,84.8,High Grade,9.5,8.6,2,1.5,169.6
CAT 777F,84.8,Waste,13.7,4.4,3,1.7,254.4
CAT 777E,84.8,High Grade,11.5,6.6,6,1.8,508.8
CAT 785C,135.15,High Grade,15.3,2.8,3,1.9,405.45
CAT 777F,84.8,Low Grade,11.5,6.6,4,1.9,339.2
CAT 777F,84.8,Low Grade,14.4,3.7,7,2.1,593.6
CAT 777F,84.8,Waste,11.3,6.8,10,2.3,848
CAT 777F,84.8,Low Grade,12.5,5.6,4,2.4,339.2
CAT 777E,84.8,Waste,14.1,4,14,2.4,1187.2
CAT 777E,84.8,High Grade,16.8,1.3,7,2.5,593.6
CAT 777F,84.8,Waste,12.4,5.7,15,2.5,1272
CAT 777F,84.8,Waste,12.4,5.7,10,3,848
CAT 777F,84.8,Waste,14.2,3.9,23,3,1950.4
CAT 777E,84.8,Waste,14.9,3.2,15,3.1,1272
CAT 785C,135.15,Waste,12.7,5.4,16,3.2,2162.4
CAT 777E,84.8,Waste,15.7,2.4,6,3.4,508.8
CAT 785C,135.15,Waste,15.8,2.3,1,4,135.15
CAT 777E,84.8,Waste,10.4,7.7,1,5.4,84.8
CAT 777F,84.8,Waste,14.8,3.3,2,1.3,169.6
CAT 777F,84.8,High Grade,13.5,4.6,6,1.6,508.8
CAT 777F,84.8,Waste,11.9,6.2,3,1.8,254.4
KOMATSU HD785,84.8,High Grade,13.3,4.8,5,1.8,424
CAT 777F,84.8,Low Grade,15.4,2.7,2,1.9,169.6
CAT 785C,135.15,High Grade,10.5,7.6,1,2,135.15
CAT 777F,84.8,High Grade,8.2,9.9,3,2,254.4
CAT 777E,84.8,Waste,17,1.1,8,2,678.4
CAT 785C,135.15,Low Grade,12.8,5.3,4,2.1,540.6
CAT 777F,84.8,Waste,13.4,4.7,7,2.4,593.6
CAT 777F,84.8,Waste,14.5,3.6,19,2.5,1611.2
CAT 777E,84.8,Waste,14.3,3.8,14,2.7,1187.2
CAT 777F,84.8,Waste,13.9,4.2,4,2.8,339.2
CAT 785C,135.15,Low Grade,13.6,4.5,5,2.8,675.75
CAT 777F,84.8,High Grade,7.8,10.3,1,2.9,84.8
CAT 777E,84.8,High Grade,16.3,1.8,2,2.9,169.6
CAT 785C,135.15,Waste,15.2,2.9,4,2.9,540.6
CAT 777E,84.8,Low Grade,12.5,5.6,4,2.9,339.2
CAT 777E,84.8,Waste,14.3,3.8,1,3,84.8
CAT 777E,84.8,Waste,13.9,4.2,4,3,339.2
CAT 785C,135.15,Waste,12.2,5.9,4,3.1,540.6
CAT 777F,84.8,Waste,14.6,3.5,10,3.1,848
CAT 777E,84.8,Waste,13.3,4.8,22,3.4,1865.6
CAT 777E,84.8,Waste,13.1,5,14,3.6,1187.2
CAT 785C,135.15,Waste,12,6.1,2,3.8,270.3
CAT 777E,84.8,Waste,12.3,5.8,23,3.8,1950.4
CAT 777F,84.8,Waste,13.5,4.6,14,3.9,1187.2
CAT 785C,135.15,Waste,10.8,7.3,3,4,405.45
CAT 785C,135.15,Waste,15.4,2.7,1,4.1,135.15
CAT 785C,135.15,Waste,12.3,5.8,1,4.2,135.15
CAT 777E,84.8,Waste,14.5,3.6,2,4.5,169.6
CAT 777E,84.8,Waste,5.8,12.3,2,5,169.6
CAT 785C,135.15,Waste,15.6,2.5,1,7.5,135.15
CAT 777F,84.8,Low Grade,13.4,4.8,1,0.9,84.8
CAT 777E,84.8,Waste,13.3,4.9,2,3,169.6
CAT 777F,84.8,High Grade,13.4,4.8,2,1.4,169.6
CAT 777F,84.8,High Grade,12,6.2,3,1.4,254.4
CAT 785C,135.15,High Grade,11.6,6.6,4,1.6,540.6
CAT 777F,84.8,High Grade,12.9,5.3,7,1.6,593.6
CAT 777E,84.8,Low Grade,11.9,6.3,8,1.6,678.4
CAT 777F,84.8,Waste,15.1,3.1,16,1.6,1356.8
CAT 777E,84.8,High Grade,11,7.2,2,1.7,169.6
CAT 777F,84.8,Low Grade,10.6,7.6,4,1.7,339.2
CAT 785C,135.15,Waste,12.6,5.6,23,1.8,3108.45
CAT 777E,84.8,High Grade,14.4,3.8,4,1.9,339.2
CAT 777F,84.8,Low Grade,14.6,3.6,14,1.9,1187.2
CAT 777F,84.8,Waste,13.3,4.9,17,1.9,1441.6
CAT 777F,84.8,High Grade,11.7,6.5,2,2,169.6
CAT 777F,84.8,Waste,11.6,6.6,6,2,508.8
CAT 785C,135.15,High Grade,9.5,8.7,6,2,810.9
CAT 777E,84.8,Waste,12.3,5.9,9,2,763.2
CAT 777E,84.8,Low Grade,12.9,5.3,3,2.1,254.4
CAT 785C,135.15,Waste,13.7,4.5,14,2.1,1892.1
CAT 777E,84.8,Waste,15.5,2.7,2,2.2,169.6
CAT 777F,84.8,High Grade,15.4,2.8,2,2.2,169.6
CAT 777F,84.8,Low Grade,12.2,6,5,2.2,424
CAT 785C,135.15,Waste,13.4,4.8,6,2.2,810.9
CAT 777F,84.8,Waste,14.1,4.1,16,2.3,1356.8
CAT 785C,135.15,Low Grade,12.4,5.8,4,2.4,540.6
CAT 777E,84.8,High Grade,11.3,6.9,3,2.5,254.4
CAT 785C,135.15,Waste,12,6.2,14,2.5,1892.1
CAT 777E,84.8,High Grade,13.3,4.9,3,2.7,254.4
CAT 785C,135.15,Waste,16.9,1.3,15,2.7,2027.25
CAT 777E,84.8,Waste,12.3,5.9,1,2.8,84.8
CAT 777F,84.8,Waste,15.1,3.1,16,2.8,1356.8
CAT 777F,84.8,High Grade,11.9,6.3,1,2.9,84.8
CAT 777F,84.8,Waste,11.9,6.3,23,3,1950.4
CAT 777F,84.8,Waste,13.3,4.9,12,3.1,1017.6
CAT 777F,84.8,Waste,11.1,7.1,4,3.2,339.2
KOMATSU HD785,84.8,Waste,12.3,5.9,12,3.2,1017.6
